"id_norma_modificatoria","id_norma_modificada","tipo_norma","nro_norma","clase_norma","organismo_origen","fecha_boletin","titulo_sumario","titulo_resumido"
"375131","349271","Resolución","360","","SECRETARIA DE ENERGIA","2021-04-27","MINISTERIO DE ECONOMIA","EXPORTACIONES DE GAS NATURAL"
"375132","353914","Resolución","235","","SECRETARIA DE MINERIA","2021-09-08","MINISTERIO DE DESARROLLO PRODUCTIVO","'VENTANILLA FEDERAL MINERA' (VENFEM) - CREACION"
"375133","336025","Resolución","19","","MINISTERIO DE OBRAS PUBLICAS","2020-04-02","MINISTERIO DE OBRAS PUBLICAS","REGLAMENTO GENERAL - APRUEBASE"
"375133","354066","Resolución","292","","MINISTERIO DE OBRAS PUBLICAS","2021-09-13","MINISTERIO DE OBRAS PUBLICAS","RESOLUCION N° 19/2020 - MODIFICACION"
"375133","365664","Resolución","149","","MINISTERIO DE OBRAS PUBLICAS","2022-06-01","MINISTERIO DE OBRAS PUBLICAS","REGLAMENTO GENERAL - APRUEBASE"
"375134","341984","Decisión Administrativa","1649","","JEFATURA DE GABINETE DE MINISTROS","2020-09-09","MINISTERIO DE SALUD","DESIGNACION"
"375135","351007","Decisión Administrativa","596","","JEFATURA DE GABINETE DE MINISTROS","2021-06-16","MINISTERIO DE SALUD","DESIGNACION"
"375136","115574","Ley","22127","","PODER EJECUTIVO NACIONAL (P.E.N.)","1980-01-08","SISTEMA NACIONAL DE RESIDENCIAS DE SALUD","NORMAS PARA SU ESTABLECIMIENTO Y APLICACION"
"375136","254649","Resolución","1993","","MINISTERIO DE SALUD","2015-11-06","MINISTERIO DE SALUD","REGLAMENTO BASICO GENERAL PARA EL SISTEMA NACIONAL DE RESIDENCIAS - APROBACION"
"375137","318666","Ley","27499","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2019-01-10","LEY MICAELA","CAPACITACION OBLIGATORIA EN LA TEMATICA DE GENERO Y VIOLENCIA CONTRA LAS MUJERES"
"375137","329773","Resolución","269","","CONSEJO DE LA MAGISTRATURA","2019-10-09","PODER JUDICIAL DE LA NACION","REGLAMENTO DE CONCURSOS PUBLICOS DE OPOSICION Y ANTECED - RESOLUCION 7/2014 - MODIFICACION"
"375138","20965","Ley","20091","","PODER EJECUTIVO NACIONAL (P.E.N.)","1973-02-07","ENTIDADES DE SEGURO Y SU CONTROL","NORMATIVA"
"375138","238219","Resolución","38708","","SUPERINTENDENCIA DE SEGUROS DE LA NACION","2014-11-13","SEGUROS","REGLAMENTO GENERAL DE LA ACTIVIDAD ASEGURADORA"
"375139","62","Ley","23660","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1989-01-20","OBRAS SOCIALES","NUEVO REGIMEN - APROBACION"
"375139","63","Ley","23661","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1989-01-20","OBRAS SOCIALES","SISTEMA NACIONAL DE SEGURO DE SALUD (ANSSAL)"
"375139","309699","Resolución","346","","SUPERINTENDENCIA DE SERVICIOS DE SALUD","2018-05-03","SERVICIOS DE SALUD","GUIA DE CONTENIDOS MINIMOS"
"375140","373282","Disposición","3","","COMISION ARBITRAL","2022-10-19","COMISION ARBITRAL CONVENIO MULTILATERAL DEL 18.8.77","PRESENTACION DECLARACION JURADA Y PAGO - TENGASE POR REALIZADA"
"375141","327264","Ley","27514","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2019-08-28","INTERES PUBLICO","DECLARACION"
